Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 80 # 151-31,Torreladera,-74.07639999999998,4.74290000100001,No VIS,Abril,Suba,40929,Torreladera Bosque Residencial Apartamentos
Av. Cr. 9A # 146-45,Cedritos,-74.03279118799998,4.724915380000027,No VIS,Abril,Usaquén,40966,Milano Park
Cr. 87 # 131C-11,Provenza,-74.083968002,4.728976014000011,No VIS,Abril,Suba,40999,Camino del Bosque Casas
Cl. 128B # 80-17,Sotileza,-74.08169233000001,4.718678640000007,No VIS,Abril,Suba,41004,Cerros de Sotileza
Cr. 19A # 173-70,La Uribe,-74.040722303,4.754881850999993,No VIS,Abril,Usaquén,41011,Támesis 175
San Simón vía. Guayamaral,Guaymaral,-74.05009460600002,4.813007878999997,No VIS,Abril,Suba,41019,El Mimbre
Cr. 54D # 134-51,Colina Campestre,-74.06076579500001,4.723330703999977,No VIS,Abril,Suba,41027,Hacienda Reservada
Cr. 56 # 167C-70,Britalia Norte,-74.05745787799998,4.751944904000027,No VIS,Abril,Suba,41072,La Bella Fontana
Cl. 152B # 74-77,Colina Campestre,-74.07147037700003,4.740721640000004,No VIS,Abril,Suba,41081,Nogales
Cr. 58C # 147-81,Colina Campestre,-74.06494487200001,4.736881604000018,No VIS,Abril,Suba,41094,Rossetti
Cl. 161 # 54-25,Sotavento,-74.054910732,4.742157706,No VIS,Abril,Suba,41112,Alejandría - Faro
Cl. 159 # 54-35,Sotavento,-74.05550138400002,4.740170636000016,No VIS,Abril,Suba,41115,Alejandría - Azimut
Cr. 54 # 153-75,Sotavento,-74.05477012199998,4.740009319000023,No VIS,Abril,Suba,41116,Alejandría - Vintage
Cl. 159 # 54-69,Sotavento,-74.05623487600002,4.740342258999988,No VIS,Abril,Suba,41118,Alejandría - Portus
Cl. 159 # 54-36,Sotavento,-74.05494678899998,4.741225484999973,No VIS,Abril,Suba,41119,Alejandría - Mediterráneo
Cr. 52A # 175-66,Villa del Prado,-74.05042504800002,4.757529652000016,No VIS,Abril,Suba,41125,Parque Baviera
Cl. 137 # 55-42,Colina Campestre,-74.06112208299999,4.725646209999979,No VIS,Abril,Suba,41126,Arany
Cl. 147 # 12-80,Cedritos,-74.03609782000001,4.727550478000012,No VIS,Abril,Usaquén,41144,Gaia 147
Cr. 81 # 212-41,Guaymaral,-74.06174119299999,4.793012431000022,No VIS,Abril,Suba,41161,Reserva del Otoñal
Cl. 142 # 11-40,Cedritos,-74.03572783800001,4.721714937999991,No VIS,Abril,Usaquén,41167,Botanika Telus
Cl. 168 # 8D-25,Santa Teresa,-74.02724011999999,4.745047732999978,No VIS,Abril,Usaquén,41174,Terraverde
Cl. 152C # 72-65,Gratamira,-74.06720174899999,4.742817123999998,No VIS,Abril,Suba,41187,Veramonte - Macana
